====================================================================================================
Training started at: 2026-03-14 10:34:04
Result directory: results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3/fedrdn_fl_cifar10_20260314-103404.txt
Result log file : results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3/fedrdn_fl_cifar10_20260314-103404.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=64.14s | TotalTime=64.14s | Method=fedrdn
[Round 081/100] Acc=45.540 | RoundTime=41.28s | TotalTime=3466.72s | Method=fedrdn
[Round 082/100] Acc=50.610 | RoundTime=40.71s | TotalTime=3507.43s | Method=fedrdn
[Round 083/100] Acc=47.730 | RoundTime=41.52s | TotalTime=3548.95s | Method=fedrdn
[Round 084/100] Acc=49.870 | RoundTime=41.81s | TotalTime=3590.76s | Method=fedrdn
[Round 085/100] Acc=45.160 | RoundTime=41.52s | TotalTime=3632.28s | Method=fedrdn
[Round 086/100] Acc=49.630 | RoundTime=41.01s | TotalTime=3673.28s | Method=fedrdn
[Round 087/100] Acc=45.100 | RoundTime=41.64s | TotalTime=3714.93s | Method=fedrdn
[Round 088/100] Acc=47.460 | RoundTime=41.52s | TotalTime=3756.45s | Method=fedrdn
[Round 089/100] Acc=51.230 | RoundTime=40.01s | TotalTime=3796.46s | Method=fedrdn
[Round 090/100] Acc=51.600 | RoundTime=41.28s | TotalTime=3837.74s | Method=fedrdn
[Round 091/100] Acc=47.130 | RoundTime=41.70s | TotalTime=3879.45s | Method=fedrdn
[Round 092/100] Acc=50.790 | RoundTime=40.18s | TotalTime=3919.63s | Method=fedrdn
[Round 093/100] Acc=44.820 | RoundTime=41.14s | TotalTime=3960.77s | Method=fedrdn
[Round 094/100] Acc=46.720 | RoundTime=41.02s | TotalTime=4001.79s | Method=fedrdn
[Round 095/100] Acc=48.150 | RoundTime=41.63s | TotalTime=4043.42s | Method=fedrdn
[Round 096/100] Acc=49.580 | RoundTime=40.52s | TotalTime=4083.94s | Method=fedrdn
[Round 097/100] Acc=49.710 | RoundTime=40.80s | TotalTime=4124.74s | Method=fedrdn
[Round 098/100] Acc=48.370 | RoundTime=41.50s | TotalTime=4166.24s | Method=fedrdn
[Round 099/100] Acc=50.130 | RoundTime=41.49s | TotalTime=4207.73s | Method=fedrdn
[Round 100/100] Acc=51.400 | RoundTime=40.87s | TotalTime=4248.60s | Method=fedrdn
====================================================================================================
Training finished at: 2026-03-14 11:44:53
Total elapsed time: 4248.60s
Final Acc: 51.400
Best Acc : 52.220
====================================================================================================
