========================================================================================================================
Training started at: 2026-04-11 15:20:02
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_mu-0.001
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_mu-0.001/fedprox_fl_cifar100_20260411-152002-924274_pid2103188.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.5_nt-asymmetric_mu-0.001/fedprox_fl_cifar100_20260411-152002-924274_pid2103188.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.5
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.001
========================================================================================================================
[Round 054/100] Phase=standard | Stage=warmup | Acc=27.650 | RoundTime=193.25s | TotalTime=10468.43s | Method=fedprox
[Round 055/100] Phase=standard | Stage=warmup | Acc=28.100 | RoundTime=194.36s | TotalTime=10662.80s | Method=fedprox
[Round 056/100] Phase=standard | Stage=warmup | Acc=27.480 | RoundTime=193.38s | TotalTime=10856.19s | Method=fedprox
[Round 057/100] Phase=standard | Stage=warmup | Acc=27.340 | RoundTime=193.74s | TotalTime=11049.93s | Method=fedprox
[Round 058/100] Phase=standard | Stage=warmup | Acc=27.770 | RoundTime=193.26s | TotalTime=11243.21s | Method=fedprox
[Round 059/100] Phase=standard | Stage=warmup | Acc=27.530 | RoundTime=195.40s | TotalTime=11438.62s | Method=fedprox
[Round 060/100] Phase=standard | Stage=warmup | Acc=27.080 | RoundTime=195.76s | TotalTime=11634.39s | Method=fedprox
[Round 061/100] Phase=standard | Stage=warmup | Acc=27.520 | RoundTime=193.45s | TotalTime=11827.85s | Method=fedprox
[Round 062/100] Phase=standard | Stage=warmup | Acc=27.590 | RoundTime=193.22s | TotalTime=12021.08s | Method=fedprox
[Round 063/100] Phase=standard | Stage=warmup | Acc=28.060 | RoundTime=195.29s | TotalTime=12216.38s | Method=fedprox
[Round 064/100] Phase=standard | Stage=warmup | Acc=27.770 | RoundTime=194.29s | TotalTime=12410.68s | Method=fedprox
[Round 065/100] Phase=standard | Stage=warmup | Acc=27.820 | RoundTime=192.11s | TotalTime=12602.80s | Method=fedprox
[Round 066/100] Phase=standard | Stage=warmup | Acc=27.740 | RoundTime=194.31s | TotalTime=12797.12s | Method=fedprox
[Round 067/100] Phase=standard | Stage=warmup | Acc=28.160 | RoundTime=193.73s | TotalTime=12990.86s | Method=fedprox
[Round 068/100] Phase=standard | Stage=warmup | Acc=27.880 | RoundTime=194.40s | TotalTime=13185.28s | Method=fedprox
[Round 069/100] Phase=standard | Stage=warmup | Acc=28.340 | RoundTime=193.27s | TotalTime=13378.56s | Method=fedprox
[Round 070/100] Phase=standard | Stage=warmup | Acc=27.930 | RoundTime=192.97s | TotalTime=13571.54s | Method=fedprox
[Round 071/100] Phase=standard | Stage=warmup | Acc=27.340 | RoundTime=193.95s | TotalTime=13765.49s | Method=fedprox
[Round 072/100] Phase=standard | Stage=warmup | Acc=27.560 | RoundTime=194.54s | TotalTime=13960.05s | Method=fedprox
[Round 073/100] Phase=standard | Stage=warmup | Acc=27.000 | RoundTime=194.51s | TotalTime=14154.57s | Method=fedprox
[Round 074/100] Phase=standard | Stage=warmup | Acc=27.770 | RoundTime=194.57s | TotalTime=14349.14s | Method=fedprox
[Round 075/100] Phase=standard | Stage=warmup | Acc=27.820 | RoundTime=194.99s | TotalTime=14544.14s | Method=fedprox
[Round 076/100] Phase=standard | Stage=warmup | Acc=27.360 | RoundTime=193.88s | TotalTime=14738.03s | Method=fedprox
[Round 077/100] Phase=standard | Stage=warmup | Acc=27.700 | RoundTime=194.91s | TotalTime=14932.96s | Method=fedprox
[Round 078/100] Phase=standard | Stage=warmup | Acc=27.720 | RoundTime=193.08s | TotalTime=15126.04s | Method=fedprox
[Round 079/100] Phase=standard | Stage=warmup | Acc=27.630 | RoundTime=193.06s | TotalTime=15319.11s | Method=fedprox
[Round 080/100] Phase=standard | Stage=warmup | Acc=28.490 | RoundTime=193.08s | TotalTime=15512.20s | Method=fedprox
[Round 081/100] Phase=standard | Stage=warmup | Acc=27.390 | RoundTime=194.70s | TotalTime=15706.92s | Method=fedprox
[Round 082/100] Phase=standard | Stage=warmup | Acc=27.720 | RoundTime=192.84s | TotalTime=15899.77s | Method=fedprox
[Round 083/100] Phase=standard | Stage=warmup | Acc=27.730 | RoundTime=192.27s | TotalTime=16092.05s | Method=fedprox
[Round 084/100] Phase=standard | Stage=warmup | Acc=28.150 | RoundTime=194.03s | TotalTime=16286.09s | Method=fedprox
[Round 085/100] Phase=standard | Stage=warmup | Acc=27.870 | RoundTime=195.25s | TotalTime=16481.35s | Method=fedprox
[Round 086/100] Phase=standard | Stage=warmup | Acc=28.430 | RoundTime=192.84s | TotalTime=16674.20s | Method=fedprox
[Round 087/100] Phase=standard | Stage=warmup | Acc=27.740 | RoundTime=192.98s | TotalTime=16867.19s | Method=fedprox
[Round 088/100] Phase=standard | Stage=warmup | Acc=27.650 | RoundTime=193.43s | TotalTime=17060.63s | Method=fedprox
[Round 089/100] Phase=standard | Stage=warmup | Acc=28.070 | RoundTime=194.42s | TotalTime=17255.06s | Method=fedprox
[Round 090/100] Phase=standard | Stage=warmup | Acc=28.050 | RoundTime=195.72s | TotalTime=17450.80s | Method=fedprox
[Round 091/100] Phase=standard | Stage=warmup | Acc=27.530 | RoundTime=194.91s | TotalTime=17645.72s | Method=fedprox
[Round 092/100] Phase=standard | Stage=warmup | Acc=28.210 | RoundTime=195.63s | TotalTime=17841.37s | Method=fedprox
[Round 093/100] Phase=standard | Stage=warmup | Acc=28.050 | RoundTime=194.36s | TotalTime=18035.73s | Method=fedprox
[Round 094/100] Phase=standard | Stage=warmup | Acc=27.410 | RoundTime=191.40s | TotalTime=18227.14s | Method=fedprox
[Round 095/100] Phase=standard | Stage=warmup | Acc=28.080 | RoundTime=183.08s | TotalTime=18410.24s | Method=fedprox
[Round 096/100] Phase=standard | Stage=warmup | Acc=28.300 | RoundTime=191.57s | TotalTime=18601.81s | Method=fedprox
[Round 097/100] Phase=standard | Stage=warmup | Acc=28.050 | RoundTime=193.02s | TotalTime=18794.84s | Method=fedprox
[Round 098/100] Phase=standard | Stage=warmup | Acc=28.050 | RoundTime=192.02s | TotalTime=18986.87s | Method=fedprox
[Round 099/100] Phase=standard | Stage=warmup | Acc=28.290 | RoundTime=192.41s | TotalTime=19179.28s | Method=fedprox
[Round 100/100] Phase=standard | Stage=warmup | Acc=28.230 | RoundTime=190.83s | TotalTime=19370.13s | Method=fedprox
========================================================================================================================
Training finished at: 2026-04-11 20:42:53
Total elapsed time: 19370.13s
Final Acc: 28.230
Best Acc : 28.490
========================================================================================================================
