========================================================================================================================
Training started at: 2026-04-07 06:43:22
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.001
========================================================================================================================
[Round 070/210] Phase=standard | Stage=warmup | Acc=45.810 | RoundTime=35.70s | TotalTime=2473.30s | Method=fedprox
[Round 071/210] Phase=standard | Stage=warmup | Acc=46.220 | RoundTime=35.61s | TotalTime=2508.92s | Method=fedprox
[Round 072/210] Phase=standard | Stage=warmup | Acc=46.320 | RoundTime=35.54s | TotalTime=2544.47s | Method=fedprox
[Round 073/210] Phase=standard | Stage=warmup | Acc=47.150 | RoundTime=35.36s | TotalTime=2579.84s | Method=fedprox
[Round 074/210] Phase=standard | Stage=warmup | Acc=47.030 | RoundTime=35.70s | TotalTime=2615.54s | Method=fedprox
[Round 075/210] Phase=standard | Stage=warmup | Acc=47.140 | RoundTime=32.93s | TotalTime=2648.48s | Method=fedprox
[Round 076/210] Phase=standard | Stage=warmup | Acc=47.590 | RoundTime=35.45s | TotalTime=2683.95s | Method=fedprox
[Round 077/210] Phase=standard | Stage=warmup | Acc=47.990 | RoundTime=35.80s | TotalTime=2719.76s | Method=fedprox
[Round 078/210] Phase=standard | Stage=warmup | Acc=48.610 | RoundTime=36.13s | TotalTime=2755.90s | Method=fedprox
[Round 079/210] Phase=standard | Stage=warmup | Acc=48.760 | RoundTime=35.47s | TotalTime=2791.38s | Method=fedprox
[Round 080/210] Phase=standard | Stage=warmup | Acc=48.800 | RoundTime=35.66s | TotalTime=2827.05s | Method=fedprox
[Round 081/210] Phase=standard | Stage=warmup | Acc=48.710 | RoundTime=35.35s | TotalTime=2862.41s | Method=fedprox
