========================================================================================================================
Training started at: 2026-04-08 11:21:56
Result directory: results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01
Result txt file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01/fedprox_fl_mnist_20260408-112156-125965_pid3433559.txt
Result log file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01/fedprox_fl_mnist_20260408-112156-125965_pid3433559.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.01
========================================================================================================================
[Round 055/100] Phase=standard | Stage=warmup | Acc=98.680 | RoundTime=50.87s | TotalTime=2890.26s | Method=fedprox
[Round 056/100] Phase=standard | Stage=warmup | Acc=98.720 | RoundTime=49.86s | TotalTime=2940.14s | Method=fedprox
[Round 057/100] Phase=standard | Stage=warmup | Acc=98.730 | RoundTime=53.74s | TotalTime=2993.92s | Method=fedprox
[Round 058/100] Phase=standard | Stage=warmup | Acc=98.690 | RoundTime=54.41s | TotalTime=3048.36s | Method=fedprox
[Round 059/100] Phase=standard | Stage=warmup | Acc=98.630 | RoundTime=57.71s | TotalTime=3106.09s | Method=fedprox
[Round 060/100] Phase=standard | Stage=warmup | Acc=98.580 | RoundTime=54.88s | TotalTime=3161.00s | Method=fedprox
[Round 061/100] Phase=standard | Stage=warmup | Acc=98.580 | RoundTime=52.72s | TotalTime=3213.75s | Method=fedprox
[Round 062/100] Phase=standard | Stage=warmup | Acc=98.700 | RoundTime=52.36s | TotalTime=3266.14s | Method=fedprox
[Round 063/100] Phase=standard | Stage=warmup | Acc=98.620 | RoundTime=52.26s | TotalTime=3318.47s | Method=fedprox
[Round 064/100] Phase=standard | Stage=warmup | Acc=98.650 | RoundTime=53.09s | TotalTime=3371.58s | Method=fedprox
[Round 065/100] Phase=standard | Stage=warmup | Acc=98.780 | RoundTime=56.72s | TotalTime=3428.36s | Method=fedprox
[Round 066/100] Phase=standard | Stage=warmup | Acc=98.660 | RoundTime=54.48s | TotalTime=3482.87s | Method=fedprox
[Round 067/100] Phase=standard | Stage=warmup | Acc=98.500 | RoundTime=53.10s | TotalTime=3535.98s | Method=fedprox
[Round 068/100] Phase=standard | Stage=warmup | Acc=98.590 | RoundTime=50.30s | TotalTime=3586.33s | Method=fedprox
[Round 069/100] Phase=standard | Stage=warmup | Acc=98.610 | RoundTime=46.35s | TotalTime=3632.72s | Method=fedprox
[Round 070/100] Phase=standard | Stage=warmup | Acc=98.590 | RoundTime=53.03s | TotalTime=3685.79s | Method=fedprox
[Round 071/100] Phase=standard | Stage=warmup | Acc=98.590 | RoundTime=53.09s | TotalTime=3738.93s | Method=fedprox
[Round 072/100] Phase=standard | Stage=warmup | Acc=98.620 | RoundTime=53.35s | TotalTime=3792.31s | Method=fedprox
[Round 073/100] Phase=standard | Stage=warmup | Acc=98.620 | RoundTime=49.40s | TotalTime=3841.74s | Method=fedprox
[Round 074/100] Phase=standard | Stage=warmup | Acc=98.460 | RoundTime=54.17s | TotalTime=3895.94s | Method=fedprox
[Round 075/100] Phase=standard | Stage=warmup | Acc=98.330 | RoundTime=52.54s | TotalTime=3948.49s | Method=fedprox
[Round 076/100] Phase=standard | Stage=warmup | Acc=98.340 | RoundTime=52.98s | TotalTime=4001.51s | Method=fedprox
[Round 077/100] Phase=standard | Stage=warmup | Acc=98.420 | RoundTime=54.27s | TotalTime=4055.81s | Method=fedprox
[Round 078/100] Phase=standard | Stage=warmup | Acc=98.430 | RoundTime=52.61s | TotalTime=4108.45s | Method=fedprox
[Round 079/100] Phase=standard | Stage=warmup | Acc=98.540 | RoundTime=54.49s | TotalTime=4162.99s | Method=fedprox
[Round 080/100] Phase=standard | Stage=warmup | Acc=98.320 | RoundTime=52.09s | TotalTime=4215.11s | Method=fedprox
[Round 081/100] Phase=standard | Stage=warmup | Acc=98.410 | RoundTime=51.67s | TotalTime=4266.79s | Method=fedprox
[Round 082/100] Phase=standard | Stage=warmup | Acc=98.390 | RoundTime=51.28s | TotalTime=4318.11s | Method=fedprox
[Round 083/100] Phase=standard | Stage=warmup | Acc=98.210 | RoundTime=52.69s | TotalTime=4370.82s | Method=fedprox
[Round 084/100] Phase=standard | Stage=warmup | Acc=98.330 | RoundTime=53.84s | TotalTime=4424.69s | Method=fedprox
[Round 085/100] Phase=standard | Stage=warmup | Acc=98.070 | RoundTime=51.68s | TotalTime=4476.42s | Method=fedprox
[Round 086/100] Phase=standard | Stage=warmup | Acc=98.300 | RoundTime=53.13s | TotalTime=4529.56s | Method=fedprox
[Round 087/100] Phase=standard | Stage=warmup | Acc=98.060 | RoundTime=53.77s | TotalTime=4583.36s | Method=fedprox
[Round 088/100] Phase=standard | Stage=warmup | Acc=98.260 | RoundTime=52.36s | TotalTime=4635.74s | Method=fedprox
[Round 089/100] Phase=standard | Stage=warmup | Acc=97.840 | RoundTime=49.16s | TotalTime=4684.91s | Method=fedprox
[Round 090/100] Phase=standard | Stage=warmup | Acc=97.860 | RoundTime=45.62s | TotalTime=4730.57s | Method=fedprox
[Round 091/100] Phase=standard | Stage=warmup | Acc=97.960 | RoundTime=53.93s | TotalTime=4784.52s | Method=fedprox
[Round 092/100] Phase=standard | Stage=warmup | Acc=98.080 | RoundTime=54.30s | TotalTime=4838.85s | Method=fedprox
[Round 093/100] Phase=standard | Stage=warmup | Acc=97.970 | RoundTime=54.73s | TotalTime=4893.63s | Method=fedprox
[Round 094/100] Phase=standard | Stage=warmup | Acc=97.590 | RoundTime=52.67s | TotalTime=4946.33s | Method=fedprox
[Round 095/100] Phase=standard | Stage=warmup | Acc=97.580 | RoundTime=57.25s | TotalTime=5003.61s | Method=fedprox
[Round 096/100] Phase=standard | Stage=warmup | Acc=97.580 | RoundTime=56.12s | TotalTime=5059.76s | Method=fedprox
[Round 097/100] Phase=standard | Stage=warmup | Acc=97.310 | RoundTime=56.23s | TotalTime=5116.03s | Method=fedprox
[Round 098/100] Phase=standard | Stage=warmup | Acc=97.450 | RoundTime=56.04s | TotalTime=5172.11s | Method=fedprox
[Round 099/100] Phase=standard | Stage=warmup | Acc=97.510 | RoundTime=49.35s | TotalTime=5221.47s | Method=fedprox
[Round 100/100] Phase=standard | Stage=warmup | Acc=97.320 | RoundTime=56.01s | TotalTime=5277.51s | Method=fedprox
========================================================================================================================
Training finished at: 2026-04-08 12:49:54
Total elapsed time: 5277.53s
Final Acc: 97.320
Best Acc : 98.810
========================================================================================================================
