====================================================================================================
Training started at: 2026-03-14 12:38:22
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3/fedcda_fl_svhn_20260314-123822.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3/fedcda_fl_svhn_20260314-123822.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 074/100] Acc=64.900 | RoundTime=67.34s | TotalTime=4089.05s | Method=fedcda
[Round 075/100] Acc=64.520 | RoundTime=61.22s | TotalTime=4150.27s | Method=fedcda
[Round 076/100] Acc=64.010 | RoundTime=63.96s | TotalTime=4214.24s | Method=fedcda
[Round 077/100] Acc=64.110 | RoundTime=62.21s | TotalTime=4276.45s | Method=fedcda
[Round 078/100] Acc=64.180 | RoundTime=63.22s | TotalTime=4339.67s | Method=fedcda
[Round 079/100] Acc=64.460 | RoundTime=61.84s | TotalTime=4401.51s | Method=fedcda
[Round 080/100] Acc=64.590 | RoundTime=64.66s | TotalTime=4466.17s | Method=fedcda
[Round 081/100] Acc=64.080 | RoundTime=64.61s | TotalTime=4530.78s | Method=fedcda
[Round 082/100] Acc=64.110 | RoundTime=61.18s | TotalTime=4591.96s | Method=fedcda
[Round 083/100] Acc=63.580 | RoundTime=62.60s | TotalTime=4654.57s | Method=fedcda
[Round 084/100] Acc=63.810 | RoundTime=61.81s | TotalTime=4716.37s | Method=fedcda
[Round 085/100] Acc=63.840 | RoundTime=61.82s | TotalTime=4778.20s | Method=fedcda
[Round 086/100] Acc=63.460 | RoundTime=62.02s | TotalTime=4840.22s | Method=fedcda
[Round 087/100] Acc=63.780 | RoundTime=63.35s | TotalTime=4903.58s | Method=fedcda
[Round 088/100] Acc=63.520 | RoundTime=62.05s | TotalTime=4965.63s | Method=fedcda
[Round 089/100] Acc=63.800 | RoundTime=62.27s | TotalTime=5027.90s | Method=fedcda
[Round 090/100] Acc=64.120 | RoundTime=62.35s | TotalTime=5090.25s | Method=fedcda
[Round 091/100] Acc=64.010 | RoundTime=62.57s | TotalTime=5152.83s | Method=fedcda
[Round 092/100] Acc=63.840 | RoundTime=62.88s | TotalTime=5215.70s | Method=fedcda
[Round 093/100] Acc=63.590 | RoundTime=62.28s | TotalTime=5277.98s | Method=fedcda
[Round 094/100] Acc=63.670 | RoundTime=61.72s | TotalTime=5339.70s | Method=fedcda
[Round 095/100] Acc=63.920 | RoundTime=62.28s | TotalTime=5401.98s | Method=fedcda
[Round 096/100] Acc=63.590 | RoundTime=65.82s | TotalTime=5467.80s | Method=fedcda
[Round 097/100] Acc=63.110 | RoundTime=61.46s | TotalTime=5529.26s | Method=fedcda
[Round 098/100] Acc=63.400 | RoundTime=61.72s | TotalTime=5590.98s | Method=fedcda
[Round 099/100] Acc=64.070 | RoundTime=62.23s | TotalTime=5653.22s | Method=fedcda
[Round 100/100] Acc=72.890 | RoundTime=50.52s | TotalTime=5703.73s | Method=fedcda
====================================================================================================
Training finished at: 2026-03-14 14:13:27
Total elapsed time: 5703.73s
Final Acc: 72.890
Best Acc : 77.290
====================================================================================================
