====================================================================================================
Training started at: 2026-03-27 02:39:55
Result directory: results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_cifar100_20260327-023955-525349_pid539330.txt
Result log file : results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_cifar100_20260327-023955-525349_pid539330.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 066/100] Acc=26.350 | RoundTime=22.71s | TotalTime=1490.21s | Method=fedrdn
[Round 067/100] Acc=26.680 | RoundTime=21.76s | TotalTime=1511.96s | Method=fedrdn
[Round 068/100] Acc=26.830 | RoundTime=22.13s | TotalTime=1534.09s | Method=fedrdn
[Round 069/100] Acc=25.520 | RoundTime=22.10s | TotalTime=1556.19s | Method=fedrdn
[Round 070/100] Acc=25.100 | RoundTime=23.16s | TotalTime=1579.35s | Method=fedrdn
[Round 071/100] Acc=25.790 | RoundTime=22.85s | TotalTime=1602.20s | Method=fedrdn
[Round 072/100] Acc=25.900 | RoundTime=22.39s | TotalTime=1624.59s | Method=fedrdn
[Round 073/100] Acc=26.500 | RoundTime=22.66s | TotalTime=1647.24s | Method=fedrdn
[Round 074/100] Acc=26.360 | RoundTime=22.04s | TotalTime=1669.28s | Method=fedrdn
[Round 075/100] Acc=25.950 | RoundTime=22.31s | TotalTime=1691.59s | Method=fedrdn
[Round 076/100] Acc=26.510 | RoundTime=21.84s | TotalTime=1713.43s | Method=fedrdn
[Round 077/100] Acc=26.550 | RoundTime=22.04s | TotalTime=1735.47s | Method=fedrdn
[Round 078/100] Acc=26.180 | RoundTime=22.36s | TotalTime=1757.83s | Method=fedrdn
[Round 079/100] Acc=26.330 | RoundTime=22.13s | TotalTime=1779.96s | Method=fedrdn
[Round 080/100] Acc=26.890 | RoundTime=22.33s | TotalTime=1802.29s | Method=fedrdn
[Round 081/100] Acc=27.030 | RoundTime=22.03s | TotalTime=1824.32s | Method=fedrdn
[Round 082/100] Acc=26.120 | RoundTime=22.25s | TotalTime=1846.57s | Method=fedrdn
[Round 083/100] Acc=26.540 | RoundTime=22.23s | TotalTime=1868.81s | Method=fedrdn
[Round 084/100] Acc=26.850 | RoundTime=22.31s | TotalTime=1891.11s | Method=fedrdn
[Round 085/100] Acc=26.470 | RoundTime=22.58s | TotalTime=1913.69s | Method=fedrdn
[Round 086/100] Acc=27.080 | RoundTime=21.95s | TotalTime=1935.64s | Method=fedrdn
[Round 087/100] Acc=27.330 | RoundTime=22.77s | TotalTime=1958.42s | Method=fedrdn
[Round 088/100] Acc=27.530 | RoundTime=22.31s | TotalTime=1980.73s | Method=fedrdn
[Round 089/100] Acc=26.750 | RoundTime=22.81s | TotalTime=2003.54s | Method=fedrdn
[Round 090/100] Acc=27.200 | RoundTime=21.77s | TotalTime=2025.30s | Method=fedrdn
[Round 091/100] Acc=26.840 | RoundTime=21.51s | TotalTime=2046.81s | Method=fedrdn
[Round 092/100] Acc=26.330 | RoundTime=22.33s | TotalTime=2069.14s | Method=fedrdn
[Round 093/100] Acc=26.260 | RoundTime=22.11s | TotalTime=2091.24s | Method=fedrdn
[Round 094/100] Acc=27.190 | RoundTime=22.71s | TotalTime=2113.95s | Method=fedrdn
[Round 095/100] Acc=27.240 | RoundTime=22.43s | TotalTime=2136.39s | Method=fedrdn
[Round 096/100] Acc=27.120 | RoundTime=22.27s | TotalTime=2158.66s | Method=fedrdn
[Round 097/100] Acc=27.440 | RoundTime=21.76s | TotalTime=2180.42s | Method=fedrdn
[Round 098/100] Acc=27.540 | RoundTime=22.34s | TotalTime=2202.76s | Method=fedrdn
[Round 099/100] Acc=27.750 | RoundTime=21.64s | TotalTime=2224.40s | Method=fedrdn
[Round 100/100] Acc=26.830 | RoundTime=22.02s | TotalTime=2246.42s | Method=fedrdn
====================================================================================================
Training finished at: 2026-03-27 03:17:22
Total elapsed time: 2246.42s
Final Acc: 26.830
Best Acc : 27.750
====================================================================================================
