====================================================================================================
Training started at: 2026-03-14 13:22:46
Result directory: results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3/fedgloss_fl_svhn_20260314-132246.txt
Result log file : results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3/fedgloss_fl_svhn_20260314-132246.log
----------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 082/100] Acc=79.660 | RoundTime=61.64s | TotalTime=5219.46s | Method=fedgloss
[Round 083/100] Acc=79.280 | RoundTime=62.41s | TotalTime=5281.87s | Method=fedgloss
[Round 084/100] Acc=76.660 | RoundTime=63.30s | TotalTime=5345.17s | Method=fedgloss
[Round 085/100] Acc=76.670 | RoundTime=62.25s | TotalTime=5407.42s | Method=fedgloss
[Round 086/100] Acc=78.600 | RoundTime=66.10s | TotalTime=5473.52s | Method=fedgloss
[Round 087/100] Acc=76.840 | RoundTime=62.17s | TotalTime=5535.69s | Method=fedgloss
[Round 088/100] Acc=78.210 | RoundTime=63.07s | TotalTime=5598.76s | Method=fedgloss
[Round 089/100] Acc=75.290 | RoundTime=62.31s | TotalTime=5661.08s | Method=fedgloss
[Round 090/100] Acc=77.800 | RoundTime=61.28s | TotalTime=5722.36s | Method=fedgloss
[Round 091/100] Acc=78.780 | RoundTime=58.32s | TotalTime=5780.68s | Method=fedgloss
[Round 092/100] Acc=78.580 | RoundTime=60.71s | TotalTime=5841.39s | Method=fedgloss
[Round 093/100] Acc=76.740 | RoundTime=63.62s | TotalTime=5905.01s | Method=fedgloss
[Round 094/100] Acc=77.540 | RoundTime=62.13s | TotalTime=5967.14s | Method=fedgloss
[Round 095/100] Acc=77.900 | RoundTime=61.87s | TotalTime=6029.01s | Method=fedgloss
[Round 096/100] Acc=75.800 | RoundTime=63.00s | TotalTime=6092.01s | Method=fedgloss
[Round 097/100] Acc=78.490 | RoundTime=61.58s | TotalTime=6153.60s | Method=fedgloss
[Round 098/100] Acc=77.000 | RoundTime=63.47s | TotalTime=6217.07s | Method=fedgloss
[Round 099/100] Acc=77.550 | RoundTime=61.35s | TotalTime=6278.42s | Method=fedgloss
[Round 100/100] Acc=75.500 | RoundTime=84.32s | TotalTime=6362.74s | Method=fedgloss
====================================================================================================
Training finished at: 2026-03-14 15:08:49
Total elapsed time: 6362.74s
Final Acc: 75.500
Best Acc : 81.370
====================================================================================================
