========================================================================================================================
Training started at: 2026-04-09 07:38:31
Result directory: results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric
Result txt file : results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_svhn_20260409-073831-710567_pid142859.txt
Result log file : results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_svhn_20260409-073831-710567_pid142859.log
------------------------------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
========================================================================================================================
[Round 061/100] Phase=standard | Stage=warmup | Acc=45.460 | RoundTime=233.64s | TotalTime=14178.35s | Method=fedavg
[Round 062/100] Phase=standard | Stage=warmup | Acc=45.080 | RoundTime=231.39s | TotalTime=14409.75s | Method=fedavg
[Round 063/100] Phase=standard | Stage=warmup | Acc=44.360 | RoundTime=232.90s | TotalTime=14642.66s | Method=fedavg
[Round 064/100] Phase=standard | Stage=warmup | Acc=44.910 | RoundTime=232.55s | TotalTime=14875.22s | Method=fedavg
[Round 065/100] Phase=standard | Stage=warmup | Acc=44.830 | RoundTime=230.95s | TotalTime=15106.18s | Method=fedavg
[Round 066/100] Phase=standard | Stage=warmup | Acc=44.690 | RoundTime=233.61s | TotalTime=15339.81s | Method=fedavg
[Round 067/100] Phase=standard | Stage=warmup | Acc=45.390 | RoundTime=234.17s | TotalTime=15573.99s | Method=fedavg
[Round 068/100] Phase=standard | Stage=warmup | Acc=45.730 | RoundTime=233.52s | TotalTime=15807.52s | Method=fedavg
[Round 069/100] Phase=standard | Stage=warmup | Acc=45.260 | RoundTime=220.15s | TotalTime=16027.68s | Method=fedavg
[Round 070/100] Phase=standard | Stage=warmup | Acc=44.550 | RoundTime=232.18s | TotalTime=16259.87s | Method=fedavg
[Round 071/100] Phase=standard | Stage=warmup | Acc=45.260 | RoundTime=233.34s | TotalTime=16493.22s | Method=fedavg
[Round 072/100] Phase=standard | Stage=warmup | Acc=45.550 | RoundTime=233.67s | TotalTime=16726.90s | Method=fedavg
[Round 073/100] Phase=standard | Stage=warmup | Acc=45.080 | RoundTime=233.17s | TotalTime=16960.12s | Method=fedavg
[Round 074/100] Phase=standard | Stage=warmup | Acc=44.440 | RoundTime=233.11s | TotalTime=17193.24s | Method=fedavg
[Round 075/100] Phase=standard | Stage=warmup | Acc=45.120 | RoundTime=235.38s | TotalTime=17428.63s | Method=fedavg
[Round 076/100] Phase=standard | Stage=warmup | Acc=45.490 | RoundTime=232.43s | TotalTime=17661.07s | Method=fedavg
