model,dataset,dir_alpha,noise_mode,noise_rate,noise_type,strategy,drop_rate,batch_size,final_acc,best_acc,final_pure,best_pure
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,32,60.990,64.750,93.060,96.115
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,36,69.710,69.710,96.135,96.399
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,40,66.930,66.930,95.675,96.641
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,48,63.100,64.870,91.812,94.461
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,54,61.420,63.060,94.545,94.561
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,64,62.450,63.440,92.808,93.566
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,32,60.800,62.580,91.718,94.948
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,36,60.260,63.280,93.862,95.314
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,40,59.770,63.290,91.471,95.101
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,48,57.950,63.260,95.325,95.455
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,54,60.550,60.550,93.844,94.330
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,64,50.900,59.000,91.935,94.568
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,32,59.480,63.030,96.467,97.065
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,36,60.100,60.730,94.091,95.475
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,40,61.490,61.490,94.154,96.841
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,48,56.760,59.260,92.628,95.727
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,54,54.820,54.820,92.306,94.334
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,64,56.300,58.440,89.920,95.106
feddenoise,fl_cifar10,0.3,uni_nr,0.4,symmetric_st,least_sim_dr,0.45,64,55.170,56.420,80.734,82.719
feddenoise,fl_cifar10,0.3,uni_nr,0.5,symmetric_st,least_sim_dr,0.55,64,47.350,48.460,71.835,75.736
feddenoise,fl_cifar10,0.3,uni_nr,0.6,symmetric_st,least_sim_dr,0.65,64,37.660,42.160,61.949,68.124
feddenoise,fl_cifar10,0.3,uni_nr,0.7,symmetric_st,least_sim_dr,0.75,64,27.250,28.520,47.501,49.071
feddenoise,fl_cifar10,0.3,uni_nr,0.8,symmetric_st,least_sim_dr,0.85,64,15.470,19.600,28.681,30.116
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,32,71.950,72.670,87.023,88.910
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,36,70.340,71.490,85.775,87.383
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,40,71.310,72.130,85.093,88.868
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,54,73.640,73.640,86.402,88.066
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,64,69.260,70.510,83.949,87.334
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,32,74.460,74.860,91.157,91.582
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,36,73.580,74.900,89.502,91.125
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,40,64.880,73.500,91.743,91.959
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,48,71.160,73.000,89.503,91.002
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,54,71.700,73.000,88.616,89.819
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,64,70.620,72.730,90.555,90.760
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,32,74.100,74.530,92.265,93.393
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,36,73.990,75.030,92.735,93.418
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,40,73.890,73.890,93.157,93.353
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,48,72.880,73.200,89.342,94.141
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,54,71.130,73.860,92.700,93.681
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,64,71.740,72.170,91.495,93.620
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,32,73.710,73.710,91.076,94.799
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,36,71.620,72.330,93.309,94.297
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,40,72.900,72.900,93.545,95.150
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,48,71.240,72.750,93.409,94.630
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,54,72.010,72.340,93.182,94.159
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,64,69.270,71.480,93.744,93.998
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,32,72.310,72.930,96.104,96.298
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,36,69.610,72.050,94.955,95.934
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,40,70.590,72.470,95.262,95.723
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,48,71.560,71.560,95.775,96.464
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,54,70.540,71.230,92.605,97.012
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,64,69.300,70.130,93.634,95.692
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,32,70.660,71.900,95.939,96.653
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,36,72.420,72.420,95.961,96.989
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,40,65.400,68.920,94.167,96.179
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,48,68.640,70.570,96.111,96.778
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,54,69.030,69.030,95.499,96.475
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,64,70.810,71.090,96.959,97.653
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,32,69.490,69.490,95.331,97.115
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,36,68.970,70.070,96.781,97.490
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,40,68.170,69.150,96.111,96.962
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,48,68.810,69.570,97.777,97.777
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,54,67.140,67.140,95.382,97.283
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,64,67.950,67.950,96.171,97.413
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,32,68.240,68.240,96.665,97.490
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,36,65.830,67.200,97.372,97.372
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,40,66.460,66.460,95.599,97.731
feddenoise,fl_cifar10,0.5,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,48,61.860,63.050,93.057,96.339
