====================================================================================================
Training started at: 2026-03-13 10:42:16
Result directory: results/fl_cifar100/fedavg
Result txt file : results/fl_cifar100/fedavg/model=fedavg_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_partition=dirichlet_dirAlpha=0.1_noiseMode=uniform_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260313-104216.txt
Result log file : results/fl_cifar100/fedavg/model=fedavg_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_partition=dirichlet_dirAlpha=0.1_noiseMode=uniform_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260313-104216.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 072/100] Acc=16.520 | RoundTime=26.96s | TotalTime=1917.08s | Method=fedavg
[Round 073/100] Acc=16.430 | RoundTime=26.91s | TotalTime=1944.00s | Method=fedavg
[Round 074/100] Acc=16.750 | RoundTime=27.28s | TotalTime=1971.28s | Method=fedavg
[Round 075/100] Acc=16.550 | RoundTime=26.90s | TotalTime=1998.17s | Method=fedavg
[Round 076/100] Acc=16.810 | RoundTime=27.52s | TotalTime=2025.69s | Method=fedavg
[Round 077/100] Acc=17.000 | RoundTime=27.09s | TotalTime=2052.78s | Method=fedavg
[Round 078/100] Acc=16.860 | RoundTime=26.66s | TotalTime=2079.44s | Method=fedavg
[Round 079/100] Acc=16.910 | RoundTime=26.78s | TotalTime=2106.22s | Method=fedavg
[Round 080/100] Acc=17.590 | RoundTime=25.92s | TotalTime=2132.14s | Method=fedavg
[Round 081/100] Acc=15.910 | RoundTime=27.32s | TotalTime=2159.47s | Method=fedavg
[Round 082/100] Acc=16.610 | RoundTime=27.27s | TotalTime=2186.74s | Method=fedavg
[Round 083/100] Acc=17.320 | RoundTime=26.78s | TotalTime=2213.52s | Method=fedavg
[Round 084/100] Acc=16.450 | RoundTime=27.00s | TotalTime=2240.52s | Method=fedavg
[Round 085/100] Acc=16.360 | RoundTime=27.17s | TotalTime=2267.69s | Method=fedavg
[Round 086/100] Acc=16.690 | RoundTime=27.53s | TotalTime=2295.22s | Method=fedavg
[Round 087/100] Acc=16.970 | RoundTime=26.96s | TotalTime=2322.18s | Method=fedavg
[Round 088/100] Acc=15.950 | RoundTime=26.63s | TotalTime=2348.81s | Method=fedavg
[Round 089/100] Acc=16.730 | RoundTime=28.01s | TotalTime=2376.82s | Method=fedavg
[Round 090/100] Acc=16.710 | RoundTime=28.14s | TotalTime=2404.97s | Method=fedavg
[Round 091/100] Acc=16.750 | RoundTime=26.82s | TotalTime=2431.79s | Method=fedavg
[Round 092/100] Acc=16.570 | RoundTime=27.70s | TotalTime=2459.49s | Method=fedavg
[Round 093/100] Acc=17.350 | RoundTime=27.12s | TotalTime=2486.62s | Method=fedavg
[Round 094/100] Acc=16.510 | RoundTime=27.81s | TotalTime=2514.43s | Method=fedavg
[Round 095/100] Acc=17.710 | RoundTime=26.83s | TotalTime=2541.26s | Method=fedavg
[Round 096/100] Acc=16.100 | RoundTime=28.09s | TotalTime=2569.34s | Method=fedavg
[Round 097/100] Acc=16.680 | RoundTime=27.82s | TotalTime=2597.16s | Method=fedavg
[Round 098/100] Acc=17.220 | RoundTime=27.31s | TotalTime=2624.47s | Method=fedavg
[Round 099/100] Acc=16.510 | RoundTime=28.01s | TotalTime=2652.48s | Method=fedavg
[Round 100/100] Acc=16.260 | RoundTime=27.51s | TotalTime=2679.99s | Method=fedavg
====================================================================================================
Training finished at: 2026-03-13 11:26:57
Total elapsed time: 2679.99s
Final Acc: 16.260
Best Acc : 17.850
====================================================================================================
