====================================================================================================
Training started at: 2026-03-14 09:23:23
Result directory: results/fl_cifar100/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3/fedrdn_fl_cifar100_20260314-092323.txt
Result log file : results/fl_cifar100/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3/fedrdn_fl_cifar100_20260314-092323.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=69.25s | TotalTime=69.25s | Method=fedrdn
[Round 046/100] Acc=21.830 | RoundTime=41.04s | TotalTime=1917.45s | Method=fedrdn
[Round 047/100] Acc=22.570 | RoundTime=42.02s | TotalTime=1959.47s | Method=fedrdn
[Round 048/100] Acc=21.580 | RoundTime=41.80s | TotalTime=2001.27s | Method=fedrdn
[Round 049/100] Acc=22.160 | RoundTime=41.88s | TotalTime=2043.16s | Method=fedrdn
[Round 050/100] Acc=20.870 | RoundTime=41.83s | TotalTime=2084.99s | Method=fedrdn
[Round 051/100] Acc=22.130 | RoundTime=40.96s | TotalTime=2125.95s | Method=fedrdn
[Round 052/100] Acc=21.550 | RoundTime=41.44s | TotalTime=2167.39s | Method=fedrdn
[Round 053/100] Acc=22.390 | RoundTime=41.49s | TotalTime=2208.88s | Method=fedrdn
[Round 054/100] Acc=22.770 | RoundTime=41.45s | TotalTime=2250.33s | Method=fedrdn
[Round 055/100] Acc=21.390 | RoundTime=41.12s | TotalTime=2291.45s | Method=fedrdn
[Round 056/100] Acc=22.180 | RoundTime=41.32s | TotalTime=2332.77s | Method=fedrdn
[Round 057/100] Acc=22.180 | RoundTime=41.30s | TotalTime=2374.07s | Method=fedrdn
[Round 058/100] Acc=21.920 | RoundTime=41.72s | TotalTime=2415.79s | Method=fedrdn
[Round 059/100] Acc=22.090 | RoundTime=40.97s | TotalTime=2456.76s | Method=fedrdn
[Round 060/100] Acc=21.890 | RoundTime=42.01s | TotalTime=2498.77s | Method=fedrdn
[Round 061/100] Acc=22.400 | RoundTime=41.37s | TotalTime=2540.14s | Method=fedrdn
[Round 062/100] Acc=22.880 | RoundTime=41.86s | TotalTime=2582.00s | Method=fedrdn
[Round 063/100] Acc=22.490 | RoundTime=41.17s | TotalTime=2623.17s | Method=fedrdn
[Round 064/100] Acc=22.850 | RoundTime=41.62s | TotalTime=2664.80s | Method=fedrdn
[Round 065/100] Acc=21.990 | RoundTime=41.67s | TotalTime=2706.46s | Method=fedrdn
[Round 066/100] Acc=22.830 | RoundTime=42.09s | TotalTime=2748.55s | Method=fedrdn
[Round 067/100] Acc=21.860 | RoundTime=41.74s | TotalTime=2790.30s | Method=fedrdn
[Round 068/100] Acc=22.830 | RoundTime=41.61s | TotalTime=2831.91s | Method=fedrdn
[Round 069/100] Acc=22.800 | RoundTime=41.75s | TotalTime=2873.66s | Method=fedrdn
[Round 070/100] Acc=22.300 | RoundTime=41.98s | TotalTime=2915.64s | Method=fedrdn
[Round 071/100] Acc=22.810 | RoundTime=42.39s | TotalTime=2958.03s | Method=fedrdn
[Round 072/100] Acc=22.500 | RoundTime=41.53s | TotalTime=2999.56s | Method=fedrdn
[Round 073/100] Acc=22.670 | RoundTime=41.43s | TotalTime=3040.99s | Method=fedrdn
[Round 074/100] Acc=22.100 | RoundTime=41.87s | TotalTime=3082.86s | Method=fedrdn
[Round 075/100] Acc=21.820 | RoundTime=41.84s | TotalTime=3124.70s | Method=fedrdn
[Round 076/100] Acc=23.120 | RoundTime=42.00s | TotalTime=3166.70s | Method=fedrdn
[Round 077/100] Acc=22.270 | RoundTime=41.89s | TotalTime=3208.59s | Method=fedrdn
[Round 078/100] Acc=22.790 | RoundTime=41.02s | TotalTime=3249.61s | Method=fedrdn
[Round 079/100] Acc=22.840 | RoundTime=42.25s | TotalTime=3291.86s | Method=fedrdn
[Round 080/100] Acc=22.700 | RoundTime=41.42s | TotalTime=3333.28s | Method=fedrdn
[Round 081/100] Acc=22.610 | RoundTime=41.53s | TotalTime=3374.81s | Method=fedrdn
[Round 082/100] Acc=23.270 | RoundTime=42.16s | TotalTime=3416.97s | Method=fedrdn
[Round 083/100] Acc=22.180 | RoundTime=41.74s | TotalTime=3458.72s | Method=fedrdn
[Round 084/100] Acc=23.060 | RoundTime=42.04s | TotalTime=3500.75s | Method=fedrdn
[Round 085/100] Acc=23.410 | RoundTime=42.47s | TotalTime=3543.22s | Method=fedrdn
[Round 086/100] Acc=22.240 | RoundTime=42.43s | TotalTime=3585.65s | Method=fedrdn
[Round 087/100] Acc=22.600 | RoundTime=42.32s | TotalTime=3627.97s | Method=fedrdn
[Round 088/100] Acc=22.620 | RoundTime=41.57s | TotalTime=3669.53s | Method=fedrdn
[Round 089/100] Acc=22.780 | RoundTime=41.60s | TotalTime=3711.13s | Method=fedrdn
[Round 090/100] Acc=22.970 | RoundTime=42.23s | TotalTime=3753.36s | Method=fedrdn
[Round 091/100] Acc=22.790 | RoundTime=41.89s | TotalTime=3795.25s | Method=fedrdn
[Round 092/100] Acc=21.490 | RoundTime=41.79s | TotalTime=3837.04s | Method=fedrdn
[Round 093/100] Acc=22.110 | RoundTime=41.68s | TotalTime=3878.72s | Method=fedrdn
[Round 094/100] Acc=22.850 | RoundTime=42.17s | TotalTime=3920.89s | Method=fedrdn
[Round 095/100] Acc=22.340 | RoundTime=41.42s | TotalTime=3962.31s | Method=fedrdn
[Round 096/100] Acc=22.310 | RoundTime=42.01s | TotalTime=4004.32s | Method=fedrdn
[Round 097/100] Acc=22.270 | RoundTime=42.44s | TotalTime=4046.76s | Method=fedrdn
[Round 098/100] Acc=22.460 | RoundTime=42.65s | TotalTime=4089.41s | Method=fedrdn
[Round 099/100] Acc=22.250 | RoundTime=42.46s | TotalTime=4131.88s | Method=fedrdn
[Round 100/100] Acc=22.450 | RoundTime=39.09s | TotalTime=4170.97s | Method=fedrdn
====================================================================================================
Training finished at: 2026-03-14 10:32:54
Total elapsed time: 4170.97s
Final Acc: 22.450
Best Acc : 23.410
====================================================================================================
