========================================================================================================================
Training started at: 2026-04-10 08:20:32
Result directory: results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_svhn_20260410-082032-186142_pid3686835.txt
Result log file : results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_svhn_20260410-082032-186142_pid3686835.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 070/100] Phase=standard | Stage=warmup | Acc=45.610 | RoundTime=239.35s | TotalTime=16545.77s | Method=fedgloss
[Round 071/100] Phase=standard | Stage=warmup | Acc=44.230 | RoundTime=238.46s | TotalTime=16784.24s | Method=fedgloss
[Round 072/100] Phase=standard | Stage=warmup | Acc=45.520 | RoundTime=236.78s | TotalTime=17021.03s | Method=fedgloss
[Round 073/100] Phase=standard | Stage=warmup | Acc=45.840 | RoundTime=236.99s | TotalTime=17258.04s | Method=fedgloss
[Round 074/100] Phase=standard | Stage=warmup | Acc=45.010 | RoundTime=235.65s | TotalTime=17493.69s | Method=fedgloss
[Round 075/100] Phase=standard | Stage=warmup | Acc=45.210 | RoundTime=235.02s | TotalTime=17728.72s | Method=fedgloss
[Round 076/100] Phase=standard | Stage=warmup | Acc=45.530 | RoundTime=236.14s | TotalTime=17964.88s | Method=fedgloss
[Round 077/100] Phase=standard | Stage=warmup | Acc=45.880 | RoundTime=235.24s | TotalTime=18200.13s | Method=fedgloss
[Round 078/100] Phase=standard | Stage=warmup | Acc=46.360 | RoundTime=236.08s | TotalTime=18436.22s | Method=fedgloss
[Round 079/100] Phase=standard | Stage=warmup | Acc=45.250 | RoundTime=235.66s | TotalTime=18671.89s | Method=fedgloss
[Round 080/100] Phase=standard | Stage=warmup | Acc=46.000 | RoundTime=234.72s | TotalTime=18906.62s | Method=fedgloss
[Round 081/100] Phase=standard | Stage=warmup | Acc=45.540 | RoundTime=235.49s | TotalTime=19142.12s | Method=fedgloss
[Round 082/100] Phase=standard | Stage=warmup | Acc=44.980 | RoundTime=235.64s | TotalTime=19377.77s | Method=fedgloss
[Round 083/100] Phase=standard | Stage=warmup | Acc=46.210 | RoundTime=236.63s | TotalTime=19614.41s | Method=fedgloss
[Round 084/100] Phase=standard | Stage=warmup | Acc=45.350 | RoundTime=234.76s | TotalTime=19849.18s | Method=fedgloss
[Round 085/100] Phase=standard | Stage=warmup | Acc=46.040 | RoundTime=234.28s | TotalTime=20083.47s | Method=fedgloss
[Round 086/100] Phase=standard | Stage=warmup | Acc=46.020 | RoundTime=235.19s | TotalTime=20318.67s | Method=fedgloss
[Round 087/100] Phase=standard | Stage=warmup | Acc=45.370 | RoundTime=237.09s | TotalTime=20555.77s | Method=fedgloss
[Round 088/100] Phase=standard | Stage=warmup | Acc=46.400 | RoundTime=236.34s | TotalTime=20792.13s | Method=fedgloss
[Round 089/100] Phase=standard | Stage=warmup | Acc=46.360 | RoundTime=238.11s | TotalTime=21030.25s | Method=fedgloss
[Round 090/100] Phase=standard | Stage=warmup | Acc=46.240 | RoundTime=236.43s | TotalTime=21266.69s | Method=fedgloss
[Round 091/100] Phase=standard | Stage=warmup | Acc=46.480 | RoundTime=236.19s | TotalTime=21502.89s | Method=fedgloss
[Round 092/100] Phase=standard | Stage=warmup | Acc=46.500 | RoundTime=236.53s | TotalTime=21739.43s | Method=fedgloss
[Round 093/100] Phase=standard | Stage=warmup | Acc=46.720 | RoundTime=234.83s | TotalTime=21974.27s | Method=fedgloss
[Round 094/100] Phase=standard | Stage=warmup | Acc=46.300 | RoundTime=236.39s | TotalTime=22210.67s | Method=fedgloss
[Round 095/100] Phase=standard | Stage=warmup | Acc=46.670 | RoundTime=236.94s | TotalTime=22447.62s | Method=fedgloss
[Round 096/100] Phase=standard | Stage=warmup | Acc=46.180 | RoundTime=236.67s | TotalTime=22684.30s | Method=fedgloss
[Round 097/100] Phase=standard | Stage=warmup | Acc=46.240 | RoundTime=237.88s | TotalTime=22922.19s | Method=fedgloss
[Round 098/100] Phase=standard | Stage=warmup | Acc=46.480 | RoundTime=237.17s | TotalTime=23159.37s | Method=fedgloss
[Round 099/100] Phase=standard | Stage=warmup | Acc=47.150 | RoundTime=236.11s | TotalTime=23395.49s | Method=fedgloss
[Round 100/100] Phase=standard | Stage=warmup | Acc=47.140 | RoundTime=233.58s | TotalTime=23629.08s | Method=fedgloss
========================================================================================================================
Training finished at: 2026-04-10 14:54:21
Total elapsed time: 23629.09s
Final Acc: 47.140
Best Acc : 78.280
========================================================================================================================
