====================================================================================================
Training started at: 2026-03-13 11:54:06
Result directory: results/fl_svhn/fedavg
Result txt file : results/fl_svhn/fedavg/model=fedavg_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.3_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_20260313-115406.txt
Result log file : results/fl_svhn/fedavg/model=fedavg_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.3_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_20260313-115406.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 069/100] Acc=67.180 | RoundTime=47.54s | TotalTime=3288.62s | Method=fedavg
[Round 070/100] Acc=71.580 | RoundTime=49.12s | TotalTime=3337.75s | Method=fedavg
[Round 071/100] Acc=69.210 | RoundTime=49.15s | TotalTime=3386.90s | Method=fedavg
[Round 072/100] Acc=69.990 | RoundTime=51.11s | TotalTime=3438.00s | Method=fedavg
[Round 073/100] Acc=65.720 | RoundTime=49.81s | TotalTime=3487.81s | Method=fedavg
[Round 074/100] Acc=62.050 | RoundTime=48.58s | TotalTime=3536.39s | Method=fedavg
[Round 075/100] Acc=65.250 | RoundTime=50.03s | TotalTime=3586.42s | Method=fedavg
[Round 076/100] Acc=65.710 | RoundTime=48.11s | TotalTime=3634.54s | Method=fedavg
[Round 077/100] Acc=67.940 | RoundTime=48.67s | TotalTime=3683.21s | Method=fedavg
[Round 078/100] Acc=71.260 | RoundTime=50.36s | TotalTime=3733.57s | Method=fedavg
[Round 079/100] Acc=70.160 | RoundTime=50.71s | TotalTime=3784.28s | Method=fedavg
[Round 080/100] Acc=61.070 | RoundTime=47.22s | TotalTime=3831.50s | Method=fedavg
[Round 081/100] Acc=72.340 | RoundTime=46.24s | TotalTime=3877.74s | Method=fedavg
[Round 082/100] Acc=72.100 | RoundTime=49.40s | TotalTime=3927.14s | Method=fedavg
[Round 083/100] Acc=72.330 | RoundTime=48.11s | TotalTime=3975.25s | Method=fedavg
[Round 084/100] Acc=68.930 | RoundTime=49.35s | TotalTime=4024.60s | Method=fedavg
[Round 085/100] Acc=68.560 | RoundTime=49.02s | TotalTime=4073.62s | Method=fedavg
[Round 086/100] Acc=65.780 | RoundTime=46.18s | TotalTime=4119.79s | Method=fedavg
[Round 087/100] Acc=65.320 | RoundTime=48.16s | TotalTime=4167.95s | Method=fedavg
[Round 088/100] Acc=70.640 | RoundTime=47.78s | TotalTime=4215.73s | Method=fedavg
[Round 089/100] Acc=72.060 | RoundTime=47.39s | TotalTime=4263.12s | Method=fedavg
[Round 090/100] Acc=67.520 | RoundTime=49.45s | TotalTime=4312.57s | Method=fedavg
[Round 091/100] Acc=68.140 | RoundTime=46.92s | TotalTime=4359.49s | Method=fedavg
[Round 092/100] Acc=69.360 | RoundTime=47.57s | TotalTime=4407.06s | Method=fedavg
[Round 093/100] Acc=66.920 | RoundTime=48.63s | TotalTime=4455.69s | Method=fedavg
[Round 094/100] Acc=67.360 | RoundTime=50.67s | TotalTime=4506.36s | Method=fedavg
[Round 095/100] Acc=63.900 | RoundTime=48.67s | TotalTime=4555.03s | Method=fedavg
[Round 096/100] Acc=69.460 | RoundTime=50.91s | TotalTime=4605.94s | Method=fedavg
[Round 097/100] Acc=68.380 | RoundTime=47.93s | TotalTime=4653.87s | Method=fedavg
[Round 098/100] Acc=64.990 | RoundTime=49.89s | TotalTime=4703.76s | Method=fedavg
[Round 099/100] Acc=69.110 | RoundTime=49.50s | TotalTime=4753.26s | Method=fedavg
[Round 100/100] Acc=68.980 | RoundTime=49.82s | TotalTime=4803.08s | Method=fedavg
====================================================================================================
Training finished at: 2026-03-13 13:14:09
Total elapsed time: 4803.08s
Final Acc: 68.980
Best Acc : 75.720
====================================================================================================
