========================================================================================================================
Training started at: 2026-04-08 22:04:19
Result directory: results/fl_cifar10/fedavg/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric
Result txt file : results/fl_cifar10/fedavg/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_cifar10_20260408-220419-664940_pid2725699.txt
Result log file : results/fl_cifar10/fedavg/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_cifar10_20260408-220419-664940_pid2725699.log
------------------------------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar10
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
========================================================================================================================
[Round 054/100] Phase=standard | Stage=warmup | Acc=62.240 | RoundTime=158.20s | TotalTime=8573.09s | Method=fedavg
[Round 055/100] Phase=standard | Stage=warmup | Acc=63.170 | RoundTime=157.23s | TotalTime=8730.33s | Method=fedavg
[Round 056/100] Phase=standard | Stage=warmup | Acc=61.140 | RoundTime=162.56s | TotalTime=8892.89s | Method=fedavg
[Round 057/100] Phase=standard | Stage=warmup | Acc=61.160 | RoundTime=157.90s | TotalTime=9050.81s | Method=fedavg
[Round 058/100] Phase=standard | Stage=warmup | Acc=60.910 | RoundTime=158.13s | TotalTime=9208.94s | Method=fedavg
[Round 059/100] Phase=standard | Stage=warmup | Acc=59.990 | RoundTime=157.83s | TotalTime=9366.78s | Method=fedavg
[Round 060/100] Phase=standard | Stage=warmup | Acc=59.780 | RoundTime=159.04s | TotalTime=9525.83s | Method=fedavg
[Round 061/100] Phase=standard | Stage=warmup | Acc=59.860 | RoundTime=157.56s | TotalTime=9683.40s | Method=fedavg
[Round 062/100] Phase=standard | Stage=warmup | Acc=59.230 | RoundTime=157.40s | TotalTime=9840.82s | Method=fedavg
[Round 063/100] Phase=standard | Stage=warmup | Acc=58.210 | RoundTime=157.03s | TotalTime=9997.86s | Method=fedavg
[Round 064/100] Phase=standard | Stage=warmup | Acc=58.700 | RoundTime=157.32s | TotalTime=10155.19s | Method=fedavg
[Round 065/100] Phase=standard | Stage=warmup | Acc=58.230 | RoundTime=156.31s | TotalTime=10311.51s | Method=fedavg
[Round 066/100] Phase=standard | Stage=warmup | Acc=57.330 | RoundTime=157.23s | TotalTime=10468.75s | Method=fedavg
[Round 067/100] Phase=standard | Stage=warmup | Acc=57.160 | RoundTime=157.05s | TotalTime=10625.82s | Method=fedavg
[Round 068/100] Phase=standard | Stage=warmup | Acc=56.810 | RoundTime=158.96s | TotalTime=10784.78s | Method=fedavg
[Round 069/100] Phase=standard | Stage=warmup | Acc=57.010 | RoundTime=157.30s | TotalTime=10942.09s | Method=fedavg
[Round 070/100] Phase=standard | Stage=warmup | Acc=56.220 | RoundTime=156.55s | TotalTime=11098.65s | Method=fedavg
[Round 071/100] Phase=standard | Stage=warmup | Acc=55.910 | RoundTime=157.05s | TotalTime=11255.70s | Method=fedavg
[Round 072/100] Phase=standard | Stage=warmup | Acc=55.890 | RoundTime=159.85s | TotalTime=11415.56s | Method=fedavg
[Round 073/100] Phase=standard | Stage=warmup | Acc=55.720 | RoundTime=156.34s | TotalTime=11571.91s | Method=fedavg
[Round 074/100] Phase=standard | Stage=warmup | Acc=55.350 | RoundTime=157.53s | TotalTime=11729.45s | Method=fedavg
[Round 075/100] Phase=standard | Stage=warmup | Acc=55.140 | RoundTime=156.66s | TotalTime=11886.12s | Method=fedavg
[Round 076/100] Phase=standard | Stage=warmup | Acc=55.020 | RoundTime=157.81s | TotalTime=12043.94s | Method=fedavg
[Round 077/100] Phase=standard | Stage=warmup | Acc=55.050 | RoundTime=157.86s | TotalTime=12201.81s | Method=fedavg
[Round 078/100] Phase=standard | Stage=warmup | Acc=54.590 | RoundTime=158.66s | TotalTime=12360.47s | Method=fedavg
[Round 079/100] Phase=standard | Stage=warmup | Acc=54.460 | RoundTime=157.61s | TotalTime=12518.09s | Method=fedavg
[Round 080/100] Phase=standard | Stage=warmup | Acc=53.880 | RoundTime=158.47s | TotalTime=12676.56s | Method=fedavg
[Round 081/100] Phase=standard | Stage=warmup | Acc=53.620 | RoundTime=157.78s | TotalTime=12834.35s | Method=fedavg
[Round 082/100] Phase=standard | Stage=warmup | Acc=54.040 | RoundTime=160.59s | TotalTime=12994.95s | Method=fedavg
[Round 083/100] Phase=standard | Stage=warmup | Acc=53.440 | RoundTime=159.13s | TotalTime=13154.09s | Method=fedavg
[Round 084/100] Phase=standard | Stage=warmup | Acc=53.610 | RoundTime=157.73s | TotalTime=13311.82s | Method=fedavg
[Round 085/100] Phase=standard | Stage=warmup | Acc=53.520 | RoundTime=156.71s | TotalTime=13468.54s | Method=fedavg
