====================================================================================================
Training started at: 2026-03-12 11:18:47
Result directory: results/fl_cifar100/fedrdn
Result txt file : results/fl_cifar100/fedrdn/model=fedrdn_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111847.txt
Result log file : results/fl_cifar100/fedrdn/model=fedrdn_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111847.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 080/100] Acc=15.100 | RoundTime=30.67s | TotalTime=2523.97s | Method=fedrdn
[Round 081/100] Acc=15.690 | RoundTime=31.57s | TotalTime=2555.54s | Method=fedrdn
[Round 082/100] Acc=15.230 | RoundTime=30.44s | TotalTime=2585.98s | Method=fedrdn
[Round 083/100] Acc=14.880 | RoundTime=30.50s | TotalTime=2616.48s | Method=fedrdn
[Round 084/100] Acc=15.670 | RoundTime=30.87s | TotalTime=2647.35s | Method=fedrdn
[Round 085/100] Acc=15.660 | RoundTime=29.94s | TotalTime=2677.29s | Method=fedrdn
[Round 086/100] Acc=15.320 | RoundTime=29.79s | TotalTime=2707.08s | Method=fedrdn
[Round 087/100] Acc=15.610 | RoundTime=31.00s | TotalTime=2738.08s | Method=fedrdn
[Round 088/100] Acc=15.930 | RoundTime=29.57s | TotalTime=2767.65s | Method=fedrdn
[Round 089/100] Acc=14.840 | RoundTime=30.39s | TotalTime=2798.03s | Method=fedrdn
[Round 090/100] Acc=15.450 | RoundTime=29.95s | TotalTime=2827.98s | Method=fedrdn
[Round 091/100] Acc=15.600 | RoundTime=29.62s | TotalTime=2857.60s | Method=fedrdn
[Round 092/100] Acc=15.560 | RoundTime=30.32s | TotalTime=2887.92s | Method=fedrdn
[Round 093/100] Acc=15.530 | RoundTime=29.28s | TotalTime=2917.20s | Method=fedrdn
[Round 094/100] Acc=15.150 | RoundTime=29.56s | TotalTime=2946.76s | Method=fedrdn
[Round 095/100] Acc=15.100 | RoundTime=30.47s | TotalTime=2977.23s | Method=fedrdn
[Round 096/100] Acc=15.390 | RoundTime=27.04s | TotalTime=3004.27s | Method=fedrdn
[Round 097/100] Acc=15.420 | RoundTime=26.79s | TotalTime=3031.06s | Method=fedrdn
[Round 098/100] Acc=15.190 | RoundTime=27.25s | TotalTime=3058.31s | Method=fedrdn
[Round 099/100] Acc=15.140 | RoundTime=26.79s | TotalTime=3085.11s | Method=fedrdn
[Round 100/100] Acc=15.680 | RoundTime=26.94s | TotalTime=3112.05s | Method=fedrdn
====================================================================================================
Training finished at: 2026-03-12 12:10:39
Total elapsed time: 3112.05s
Final Acc: 15.680
Best Acc : 15.930
====================================================================================================
